321,Bugayong,12814004,01,0128,012814
322,Cabittauran,12814005,01,0128,012814
323,Caray,12814006,01,0128,012814
324,Garnaden,12814007,01,0128,012814
325,Naguillan,12814008,01,0128,012814
326,Poblacion,12814009,01,0128,012814
327,Santo Niño,12814010,01,0128,012814
328,Uguis,12814011,01,0128,012814
329,Aggasi,12815001,01,0128,012815
330,Baduang,12815003,01,0128,012815
331,Balaoi,12815004,01,0128,012815
332,Burayoc,12815005,01,0128,012815
333,Caunayan,12815006,01,0128,012815
334,Dampig,12815007,01,0128,012815
335,Ligaya,12815008,01,0128,012815
336,Pancian,12815010,01,0128,012815
337,Pasaleng,12815011,01,0128,012815
338,Poblacion 1,12815012,01,0128,012815
339,Poblacion 2,12815013,01,0128,012815
340,Saguigui,12815014,01,0128,012815
341,Saud,12815015,01,0128,012815
342,Subec,12815016,01,0128,012815
343,Tarrag,12815017,01,0128,012815
344,Caparispisan,12815018,01,0128,012815
345,Bacsil,12816001,01,0128,012816
346,Cabagoan,12816002,01,0128,012816
347,Cabangaran,12816003,01,0128,012816
348,Callaguip,12816004,01,0128,012816
349,Cayubog,12816005,01,0128,012816
350,Dolores,12816006,01,0128,012816
351,Laoa,12816007,01,0128,012816
352,Masintoc,12816008,01,0128,012816
353,Monte,12816009,01,0128,012816
354,Mumulaan,12816010,01,0128,012816
355,Nagbacalan,12816011,01,0128,012816
356,Nalasin,12816012,01,0128,012816
357,Nanguyudan,12816013,01,0128,012816
358,Oaig-Upay-Abulao,12816014,01,0128,012816
359,Pambaran,12816015,01,0128,012816
360,Pannaratan (Pob.),12816016,01,0128,012816
361,Paratong,12816017,01,0128,012816
362,Pasil,12816018,01,0128,012816
363,Salbang (Pob.),12816019,01,0128,012816
364,San Agustin,12816020,01,0128,012816
365,San Blas (Pob.),12816021,01,0128,012816
366,San Juan,12816022,01,0128,012816
367,San Pedro,12816025,01,0128,012816
368,San Roque (Pob.),12816028,01,0128,012816
369,Sangladan Pob.,12816029,01,0128,012816
370,Santa Rita (Pob.),12816030,01,0128,012816
